y_1,x_1,y_2,x_2
12035,6123,12109,6196
12035,6196,12109,6269
12035,6269,12109,6343
12035,6343,12109,6416
12035,6416,12109,6489
12035,6489,12109,6563
12035,6563,12109,6636
12035,6636,12109,6709
12109,6123,12182,6196
12109,6196,12182,6269
12109,6269,12182,6343
12109,6343,12182,6416
12109,6416,12182,6489
12109,6489,12182,6563
12109,6563,12182,6636
12109,6636,12182,6709
12182,6123,12255,6196
12182,6196,12255,6269
12182,6269,12255,6343
12182,6343,12255,6416
12182,6416,12255,6489
12182,6489,12255,6563
12182,6563,12255,6636
12182,6636,12255,6709
12255,6123,12329,6196
12255,6196,12329,6269
12255,6269,12329,6343
12255,6343,12329,6416
12255,6416,12329,6489
12255,6489,12329,6563
12255,6563,12329,6636
12255,6636,12329,6709
12329,6123,12402,6196
12329,6196,12402,6269
12329,6269,12402,6343
12329,6343,12402,6416
12329,6416,12402,6489
12329,6489,12402,6563
12329,6563,12402,6636
12329,6636,12402,6709
12402,6123,12475,6196
12402,6196,12475,6269
12402,6269,12475,6343
12402,6343,12475,6416
12402,6416,12475,6489
12402,6489,12475,6563
12402,6563,12475,6636
12402,6636,12475,6709
12475,6123,12549,6196
12475,6196,12549,6269
12475,6269,12549,6343
12475,6343,12549,6416
12475,6416,12549,6489
12475,6489,12549,6563
12475,6563,12549,6636
12475,6636,12549,6709
12549,6123,12622,6196
12549,6196,12622,6269
12549,6269,12622,6343
12549,6343,12622,6416
12549,6416,12622,6489
12549,6489,12622,6563
12549,6563,12622,6636
12549,6636,12622,6709
